name,owner_login,language,stars,forks,watchers,open_issues,created_date,updated_date,license_name
awesome-machine-learning,josephmisiti,Python,74132,15620,74132,26,2014-07-15 19:11:19+00:00,2026-08-23 21:58:31+00:00,Other
MachineLearning,wepe,Python,5749,3205,5749,50,2014-12-05 14:53:17+00:00,2026-08-23 21:03:43+00:00,No License
MachineLearning_Python,lawlite19,Python,8582,2515,8582,10,2016-10-17 15:44:59+00:00,2026-08-24 01:16:06+00:00,MIT License
Machine-Learning,Jack-Cherish,Python,10372,5064,10372,7,2017-03-25 07:32:37+00:00,2026-08-22 15:54:58+00:00,No License
machine-learning,udacity,Jupyter Notebook,4030,6230,4030,0,2016-01-26 18:41:03+00:00,2026-08-17 21:37:20+00:00,No License
MachineLearningNotebooks,Azure,Jupyter Notebook,4427,2575,4427,400,2018-08-17 17:29:14+00:00,2026-08-21 19:52:45+00:00,MIT License
homemade-machine-learning,trekhleb,Jupyter Notebook,24774,4194,24774,30,2018-11-01 04:34:19+00:00,2026-08-23 16:53:03+00:00,MIT License
machine_learning_examples,lazyprogrammer,Python,8912,6402,8912,33,2014-07-31 23:40:45+00:00,2026-08-23 13:27:41+00:00,No License
Machine-Learning-Tutorials,ujjwalkarn,Unknown,18141,3969,18141,47,2015-09-12 14:51:38+00:00,2026-08-24 00:26:31+00:00,Creative Commons Zero v1.0 Universal
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20593,5552,20593,3,2018-05-09 12:33:08+00:00,2026-08-23 20:49:13+00:00,MIT License
machine-learning-for-software-engineers,ZuzooVn,Unknown,28869,6147,28869,32,2016-10-09 21:20:25+00:00,2026-08-23 19:47:14+00:00,Creative Commons Attribution Share Alike 4.0 International
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13999,3103,13999,3,2020-04-17 04:29:23+00:00,2026-08-23 22:28:01+00:00,No License
Machine-learning-learning-notes,Vay-keen,Unknown,7761,1879,7761,28,2018-03-24 06:48:10+00:00,2026-08-21 04:15:39+00:00,No License
python-machine-learning-book,rasbt,Jupyter Notebook,12642,4373,12642,13,2015-08-07 20:39:29+00:00,2026-08-23 21:43:24+00:00,MIT License
MachineLearning,allmachinelearning,Unknown,3839,979,3839,4,2017-05-09 10:29:21+00:00,2026-08-20 09:32:03+00:00,No License
Machine-Learning-Collection,aladdinpersson,Python,8489,2784,8489,118,2020-03-26 07:02:40+00:00,2026-08-21 23:11:45+00:00,MIT License
machine-learning-interview,khangich,Unknown,12789,2045,12789,9,2020-08-11 06:26:32+00:00,2026-08-23 23:46:16+00:00,No License
awesome-production-machine-learning,EthicalML,Unknown,20864,2590,20864,31,2018-08-15 14:28:41+00:00,2026-08-23 23:37:58+00:00,MIT License
stanford-cs-229-machine-learning,afshinea,Unknown,20147,4252,20147,20,2018-08-04 23:01:00+00:00,2026-08-23 17:52:25+00:00,MIT License
Machine-Learning-with-Python,susanli2016,Jupyter Notebook,4592,4760,4592,50,2017-05-26 08:55:48+00:00,2026-08-20 16:22:54+00:00,No License
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7804,3728,7804,26,2022-06-16 15:31:02+00:00,2026-08-23 23:58:31+00:00,MIT License
tensorflow,tensorflow,C++,197375,76116,197375,2948,2015-11-07 01:19:20+00:00,2026-08-23 21:07:14+00:00,Apache License 2.0
scikit-learn,scikit-learn,Python,67036,27306,67036,2127,2010-08-17 09:43:38+00:00,2026-08-24 01:08:47+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
machine-learning-notes,roboticcam,Jupyter Notebook,10338,1825,10338,28,2018-02-15 15:42:33+00:00,2026-08-23 17:30:10+00:00,No License
deploying-machine-learning-models,trainindata,Jupyter Notebook,893,8130,893,500,2019-01-09 20:30:46+00:00,2026-08-21 16:18:23+00:00,"BSD 3-Clause ""New"" or ""Revised"" License"
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Unknown,36473,7461,36473,68,2021-01-02 12:08:37+00:00,2026-08-23 23:38:06+00:00,No License
Lhy_Machine_Learning,Fafa-DL,Jupyter Notebook,7105,1663,7105,8,2021-02-28 05:42:46+00:00,2026-08-23 01:58:47+00:00,No License
machine-learning-book,rasbt,Jupyter Notebook,5338,1837,5338,25,2021-12-19 00:32:59+00:00,2026-08-23 23:03:00+00:00,MIT License
cs249r_book,harvard-edge,Python,27989,3534,27989,27,2023-09-06 19:31:06+00:00,2026-08-23 22:01:58+00:00,Other
financial-machine-learning,firmai,Python,8755,1410,8755,15,2019-03-21 21:00:35+00:00,2026-08-22 09:02:11+00:00,No License
